source_genesymbol	target_genesymbol	source_uniprot	target_uniprot	source_db	pathway	annotation
FTCD	GRM7	na	na	Pavlicev2017	FTCD	Small Molecule-Mediated
FTCD	GRM8	na	na	Pavlicev2017	FTCD	Small Molecule-Mediated
GLS	GRM1	na	na	Pavlicev2017	GLS	Small Molecule-Mediated
GLS	GRM2	na	na	Pavlicev2017	GLS	Small Molecule-Mediated
GLS	GRM3	na	na	Pavlicev2017	GLS	Small Molecule-Mediated
GLS	GRM4	na	na	Pavlicev2017	GLS	Small Molecule-Mediated
GLS	GRM5	na	na	Pavlicev2017	GLS	Small Molecule-Mediated
GLS	GRM6	na	na	Pavlicev2017	GLS	Small Molecule-Mediated
GLS	GRM7	na	na	Pavlicev2017	GLS	Small Molecule-Mediated
GLS	GRM8	na	na	Pavlicev2017	GLS	Small Molecule-Mediated
GLS2	GRM1	na	na	Pavlicev2017	GLS2	Small Molecule-Mediated
GLS2	GRM2	na	na	Pavlicev2017	GLS2	Small Molecule-Mediated
GLS2	GRM3	na	na	Pavlicev2017	GLS2	Small Molecule-Mediated
GLS2	GRM4	na	na	Pavlicev2017	GLS2	Small Molecule-Mediated
GLS2	GRM5	na	na	Pavlicev2017	GLS2	Small Molecule-Mediated
GLS2	GRM6	na	na	Pavlicev2017	GLS2	Small Molecule-Mediated
GLS2	GRM7	na	na	Pavlicev2017	GLS2	Small Molecule-Mediated
GLS2	GRM8	na	na	Pavlicev2017	GLS2	Small Molecule-Mediated
GLUD1	GRM1	na	na	Pavlicev2017	GLUD1	Small Molecule-Mediated
GLUD1	GRM2	na	na	Pavlicev2017	GLUD1	Small Molecule-Mediated
GLUD1	GRM3	na	na	Pavlicev2017	GLUD1	Small Molecule-Mediated
GLUD1	GRM4	na	na	Pavlicev2017	GLUD1	Small Molecule-Mediated
GLUD1	GRM5	na	na	Pavlicev2017	GLUD1	Small Molecule-Mediated
GLUD1	GRM6	na	na	Pavlicev2017	GLUD1	Small Molecule-Mediated
GLUD1	GRM7	na	na	Pavlicev2017	GLUD1	Small Molecule-Mediated
GLUD1	GRM8	na	na	Pavlicev2017	GLUD1	Small Molecule-Mediated
GLUD1	OXGR1	na	na	Pavlicev2017	GLUD1	Small Molecule-Mediated
GLUD2	GRM1	na	na	Pavlicev2017	GLUD2	Small Molecule-Mediated
GLUD2	GRM2	na	na	Pavlicev2017	GLUD2	Small Molecule-Mediated
GLUD2	GRM3	na	na	Pavlicev2017	GLUD2	Small Molecule-Mediated
GLUD2	GRM4	na	na	Pavlicev2017	GLUD2	Small Molecule-Mediated
GLUD2	GRM5	na	na	Pavlicev2017	GLUD2	Small Molecule-Mediated
GLUD2	GRM6	na	na	Pavlicev2017	GLUD2	Small Molecule-Mediated
GLUD2	GRM7	na	na	Pavlicev2017	GLUD2	Small Molecule-Mediated
GLUD2	GRM8	na	na	Pavlicev2017	GLUD2	Small Molecule-Mediated
GLUD2	OXGR1	na	na	Pavlicev2017	GLUD2	Small Molecule-Mediated
HDC	HRH1	na	na	Pavlicev2017	HDC	Small Molecule-Mediated
HDC	HRH2	na	na	Pavlicev2017	HDC	Small Molecule-Mediated
HDC	HRH3	na	na	Pavlicev2017	HDC	Small Molecule-Mediated
HDC	HRH4	na	na	Pavlicev2017	HDC	Small Molecule-Mediated
HPGDS	TBXA2R	na	na	Pavlicev2017	HPGDS	Small Molecule-Mediated
HSD11B1	NR3C1	na	na	Pavlicev2017	HSD11B1	Small Molecule-Mediated
HSD17B1	GPER1	na	na	Pavlicev2017	HSD17B1	Small Molecule-Mediated
HSD17B2	ESR1	na	na	Pavlicev2017	HSD17B2	Small Molecule-Mediated
HSD17B2	ESR2	na	na	Pavlicev2017	HSD17B2	Small Molecule-Mediated
HSD17B2	GPER1	na	na	Pavlicev2017	HSD17B2	Small Molecule-Mediated
HSD3B1	NR3C1	na	na	Pavlicev2017	HSD3B1	Small Molecule-Mediated
HSD3B1	PAQR3	na	na	Pavlicev2017	HSD3B1	Small Molecule-Mediated
HSD3B1	PAQR4	na	na	Pavlicev2017	HSD3B1	Small Molecule-Mediated
HSD3B1	PAQR5	na	na	Pavlicev2017	HSD3B1	Small Molecule-Mediated
HSD3B1	PAQR6	na	na	Pavlicev2017	HSD3B1	Small Molecule-Mediated
HSD3B1	PAQR7	na	na	Pavlicev2017	HSD3B1	Small Molecule-Mediated
HSD3B1	PAQR8	na	na	Pavlicev2017	HSD3B1	Small Molecule-Mediated
HSD3B1	PAQR9	na	na	Pavlicev2017	HSD3B1	Small Molecule-Mediated
HSD3B1	PGR	na	na	Pavlicev2017	HSD3B1	Small Molecule-Mediated
IDH1	OXGR1	na	na	Pavlicev2017	IDH1	Small Molecule-Mediated
IDH2	OXGR1	na	na	Pavlicev2017	IDH2	Small Molecule-Mediated
LDHA	HCAR1	na	na	Pavlicev2017	LDHA	Small Molecule-Mediated
LTA4H	LTB4R	na	na	Pavlicev2017	LTA4H	Small Molecule-Mediated
PNMT	ADRA1A	na	na	Pavlicev2017	PNMT	Small Molecule-Mediated
PNMT	ADRA1B	na	na	Pavlicev2017	PNMT	Small Molecule-Mediated
PNMT	ADRA1D	na	na	Pavlicev2017	PNMT	Small Molecule-Mediated
PNMT	ADRA2A	na	na	Pavlicev2017	PNMT	Small Molecule-Mediated
PNMT	ADRA2B	na	na	Pavlicev2017	PNMT	Small Molecule-Mediated
PNMT	ADRA2C	na	na	Pavlicev2017	PNMT	Small Molecule-Mediated
PNMT	ADRB1	na	na	Pavlicev2017	PNMT	Small Molecule-Mediated
PNMT	ADRB2	na	na	Pavlicev2017	PNMT	Small Molecule-Mediated
PNMT	ADRB3	na	na	Pavlicev2017	PNMT	Small Molecule-Mediated
PTDSS1	ADGRB1	na	na	Pavlicev2017	PTDSS1	Small Molecule-Mediated
PTGDS	PTGDR	na	na	Pavlicev2017	PTGDS	Small Molecule-Mediated
PTGDS	PTGDR2	na	na	Pavlicev2017	PTGDS	Small Molecule-Mediated
