"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"PTGS2_PTGIR","PTGS2_PTGIR","EICOSANOID","PTGS2","PTGIR","","","","","","Small Molecule-Mediated","PTGS2 - PTGIR"
"PTGS2_TBXA2R","PTGS2_TBXA2R","EICOSANOID","PTGS2","TBXA2R","","","","","","Small Molecule-Mediated","PTGS2 - TBXA2R"
"SDHA_SUCNR1","SDHA_SUCNR1","SUCN","SDHA","SUCNR1","","","","","PMID: 1514213","Small Molecule-Mediated","SDHA - SUCNR1"
"SDHB_SUCNR1","SDHB_SUCNR1","SUCN","SDHB","SUCNR1","","","","","PMID: 1514213","Small Molecule-Mediated","SDHB - SUCNR1"
"SDHC_SUCNR1","SDHC_SUCNR1","SUCN","SDHC","SUCNR1","","","","","PMID: 1514213","Small Molecule-Mediated","SDHC - SUCNR1"
"SDHD_SUCNR1","SDHD_SUCNR1","SUCN","SDHD","SUCNR1","","","","","PMID: 1514213","Small Molecule-Mediated","SDHD - SUCNR1"
"TBXAS1_PTGDR","TBXAS1_PTGDR","EICOSANOID","TBXAS1","PTGDR","","","","","","Small Molecule-Mediated","TBXAS1 - PTGDR"
"TBXAS1_PTGDR2","TBXAS1_PTGDR2","EICOSANOID","TBXAS1","PTGDR2","","","","","","Small Molecule-Mediated","TBXAS1 - PTGDR2"
"TBXAS1_PTGER1","TBXAS1_PTGER1","EICOSANOID","TBXAS1","PTGER1","","","","","","Small Molecule-Mediated","TBXAS1 - PTGER1"
"TBXAS1_TBXA2R","TBXAS1_TBXA2R","EICOSANOID","TBXAS1","TBXA2R","","","","","","Small Molecule-Mediated","TBXAS1 - TBXA2R"
"TPH1_MTNR1A","TPH1_MTNR1A","INDOLAMINE","TPH1","MTNR1A","","","","","","Small Molecule-Mediated","TPH1 - MTNR1A"
"TPH1_MTNR1B","TPH1_MTNR1B","INDOLAMINE","TPH1","MTNR1B","","","","","","Small Molecule-Mediated","TPH1 - MTNR1B"
"AGRP_MC2R","AGRP_MC2R","MELANOCORTIN","AGRP","MC2R","","","","","","Secreted Signaling","AGRP - MC2R"
"ASIP_MC1R","ASIP_MC1R","MELANOCORTIN","ASIP","MC1R","","","","","","Secreted Signaling","ASIP - MC1R"
"ASIP_MC2R","ASIP_MC2R","MELANOCORTIN","ASIP","MC2R","","","","","","Secreted Signaling","ASIP - MC2R"
"ASIP_MC3R","ASIP_MC3R","MELANOCORTIN","ASIP","MC3R","","","","","","Secreted Signaling","ASIP - MC3R"
"ASIP_MC4R","ASIP_MC4R","MELANOCORTIN","ASIP","MC4R","","","","","","Secreted Signaling","ASIP - MC4R"
"ASIP_MC5R","ASIP_MC5R","MELANOCORTIN","ASIP","MC5R","","","","","","Secreted Signaling","ASIP - MC5R"
"C3_C3AR1","C3_C3AR1","COMPLEMENT","C3","C3AR1","","","","","","Secreted Signaling","C3 - C3AR1"
"C3_C5AR1","C3_C5AR1","COMPLEMENT","C3","C5AR1","","","","","","Secreted Signaling","C3 - C5AR1"
"C5_C3AR1","C5_C3AR1","COMPLEMENT","C5","C3AR1","","","","","","Secreted Signaling","C5 - C3AR1"
"C5_C5AR1","C5_C5AR1","COMPLEMENT","C5","C5AR1","","","","","","Secreted Signaling","C5 - C5AR1"
"C5_C5AR2","C5_C5AR2","COMPLEMENT","C5","C5AR2","","","","","","Secreted Signaling","C5 - C5AR2"
"CSH2_GHR","CSH2_GHR","hPL","CSH2","GHR","","","","","","Secreted Signaling","CSH2 - GHR"
"CSH2_PRLR","CSH2_PRLR","hPL","CSH2","PRLR","","","","","","Secreted Signaling","CSH2 - PRLR"
"CTSG_FPR1","CTSG_FPR1","CATHEPSIN","CTSG","FPR1","","","","","PMID: 15210802","Secreted Signaling","CTSG - FPR1"
"DEFB4A_CCR6","DEFB4A_CCR6","DEFENSIN","DEFB4A","CCR6","","","","","PMID: 20068036","Secreted Signaling","DEFB4A - CCR6"
"GH2_PRLR","GH2_PRLR","GH","GH2","PRLR","","","","","","Secreted Signaling","GH2 - PRLR"
"GIP_ADGRB2","GIP_ADGRB2","GIP","GIP","ADGRB2","","","","","PMID: 21787750","Secreted Signaling","GIP - ADGRB2"
"MMP13_F2R","MMP13_F2R","PARs","MMP13","F2R","","","","","PMID: 22610965","Secreted Signaling","MMP13 - F2R"
"SST_GPR107","SST_GPR107","SST","SST","GPR107","","","","","PMID: 22933024","Secreted Signaling","SST - GPR107"
