"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"DDC_HTR1A","DDC_HTR1A","DA","DDC","HTR1A","","","","","","Small Molecule-Mediated","DDC - HTR1A"
"DDC_HTR1B","DDC_HTR1B","DA","DDC","HTR1B","","","","","","Small Molecule-Mediated","DDC - HTR1B"
"DDC_HTR1D","DDC_HTR1D","DA","DDC","HTR1D","","","","","","Small Molecule-Mediated","DDC - HTR1D"
"DDC_HTR1E","DDC_HTR1E","DA","DDC","HTR1E","","","","","","Small Molecule-Mediated","DDC - HTR1E"
"DDC_HTR1F","DDC_HTR1F","DA","DDC","HTR1F","","","","","","Small Molecule-Mediated","DDC - HTR1F"
"DDC_HTR2A","DDC_HTR2A","DA","DDC","HTR2A","","","","","","Small Molecule-Mediated","DDC - HTR2A"
"DDC_HTR2B","DDC_HTR2B","DA","DDC","HTR2B","","","","","","Small Molecule-Mediated","DDC - HTR2B"
"DDC_HTR2C","DDC_HTR2C","DA","DDC","HTR2C","","","","","","Small Molecule-Mediated","DDC - HTR2C"
"DDC_HTR4","DDC_HTR4","DA","DDC","HTR4","","","","","","Small Molecule-Mediated","DDC - HTR4"
"DDC_HTR5A","DDC_HTR5A","DA","DDC","HTR5A","","","","","","Small Molecule-Mediated","DDC - HTR5A"
"DDC_HTR5BP","DDC_HTR5BP","DA","DDC","HTR5BP","","","","","","Small Molecule-Mediated","DDC - HTR5BP"
"DDC_HTR6","DDC_HTR6","DA","DDC","HTR6","","","","","","Small Molecule-Mediated","DDC - HTR6"
"DDC_HTR7","DDC_HTR7","DA","DDC","HTR7","","","","","","Small Molecule-Mediated","DDC - HTR7"
"DDC_TAAR1","DDC_TAAR1","DA","DDC","TAAR1","","","","","","Small Molecule-Mediated","DDC - TAAR1"
"ENPP2_LPAR1","ENPP2_LPAR1","LPA","ENPP2","LPAR1","","","","","","Small Molecule-Mediated","ENPP2 - LPAR1"
"ENPP2_LPAR2","ENPP2_LPAR2","LPA","ENPP2","LPAR2","","","","","","Small Molecule-Mediated","ENPP2 - LPAR2"
"ENPP2_LPAR3","ENPP2_LPAR3","LPA","ENPP2","LPAR3","","","","","","Small Molecule-Mediated","ENPP2 - LPAR3"
"ENPP2_LPAR4","ENPP2_LPAR4","LPA","ENPP2","LPAR4","","","","","","Small Molecule-Mediated","ENPP2 - LPAR4"
"ENPP2_LPAR5","ENPP2_LPAR5","LPA","ENPP2","LPAR5","","","","","","Small Molecule-Mediated","ENPP2 - LPAR5"
"ENPP2_LPAR6","ENPP2_LPAR6","LPA","ENPP2","LPAR6","","","","","","Small Molecule-Mediated","ENPP2 - LPAR6"
"ENPP2_S1PR1","ENPP2_S1PR1","LPA","ENPP2","S1PR1","","","","","","Small Molecule-Mediated","ENPP2 - S1PR1"
"ENPP2_S1PR2","ENPP2_S1PR2","LPA","ENPP2","S1PR2","","","","","","Small Molecule-Mediated","ENPP2 - S1PR2"
