source_genesymbol	target_genesymbol	source_uniprot	target_uniprot	source_db	source_transmembrane	source_peripheral	source_secreted	source_integrin	source_other	source_other_desc	source_Small_Molecule	target_transmembrane	target_peripheral	target_secreted	target_integrin	target_other	target_other_desc	target_Small_Molecule
IGF1	COMPLEX:IGF1R_GPC3	P05019	COMPLEX:P08069_P51654	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL10	COMPLEX:IL10RB_IL10RA	P22301	COMPLEX:Q08334_Q13651	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL11	COMPLEX:IL6ST_IL11RA	P20809	COMPLEX:P40189_Q14626	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
COMPLEX:IL12A_IL12B	COMPLEX:IL12RB1_IL12RB2	COMPLEX:P29459_P29460	COMPLEX:P42701_Q99665	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL4	COMPLEX:IL4R_IL13RA1	P05112	COMPLEX:P24394_P78552	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL13	COMPLEX:IL4R_IL13RA1	P35225	COMPLEX:P24394_P78552	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL15	COMPLEX:IL2RB_IL15RA	P40933	COMPLEX:P14784_Q13261	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
COMPLEX:IL17A_IL17F	COMPLEX:IL17RC_IL17RA	COMPLEX:Q16552_Q96PD4	COMPLEX:Q8NAC3_Q96F46	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL25	COMPLEX:IL17RA_IL17RB	Q9H293	COMPLEX:Q96F46_Q9NRM6	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL17F	COMPLEX:IL17RC_IL17RA	Q96PD4	COMPLEX:Q8NAC3_Q96F46	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL17C	COMPLEX:IL17RE_IL17RA	Q9P0M4	COMPLEX:Q8NFR9_Q96F46	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL18	COMPLEX:IL18RAP_IL18R1	Q14116	COMPLEX:O95256_Q13478	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL1A	COMPLEX:IL1R1_IL1RAP	P01583	COMPLEX:P14778_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL1B	COMPLEX:IL1R1_IL1RAP	P01584	COMPLEX:P14778_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL1RN	COMPLEX:IL1R1_IL1RAP	P18510	COMPLEX:P14778_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL1A	COMPLEX:IL1R2_IL1RAP	P01583	COMPLEX:P27930_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL1B	COMPLEX:IL1R2_IL1RAP	P01584	COMPLEX:P27930_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL1RN	COMPLEX:IL1R2_IL1RAP	P18510	COMPLEX:P27930_Q9NPH3	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
IL24	COMPLEX:IL20RB_IL20RA	Q13007	COMPLEX:Q6UXL0_Q9UHF4	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL20	COMPLEX:IL20RB_IL20RA	Q9NYY1	COMPLEX:Q6UXL0_Q9UHF4	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL19	COMPLEX:IL20RB_IL20RA	Q9UHD0	COMPLEX:Q6UXL0_Q9UHF4	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL24	COMPLEX:IL20RB_IL22RA1	Q13007	COMPLEX:Q6UXL0_Q8N6P7	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL20	COMPLEX:IL20RB_IL22RA1	Q9NYY1	COMPLEX:Q6UXL0_Q8N6P7	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL21	COMPLEX:IL2RG_IL21R	Q9HBE4	COMPLEX:P31785_Q9HBE5	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL22	COMPLEX:IL10RB_IL22RA1	Q9GZX6	COMPLEX:Q08334_Q8N6P7	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
COMPLEX:IL12B_IL23A	COMPLEX:IL12RB1_IL23R	COMPLEX:P29460_Q9NPF7	COMPLEX:P42701_Q5VWK5	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
IL26	COMPLEX:IL10RB_IL20RA	Q9NPH9	COMPLEX:Q08334_Q9UHF4	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
